1;index;ROIC;EBIT/EV;EV;EBIT;WC;FA;STD;EC;P;V;Market;Sector;Name
SAPR3.SA;13;1,881196038842419;0,16867997207637328;8699752448;1467474000,0;307418000,0;472657000,0;467124000,0;830437782,5;3,7;1208541278;br_market;Utilities—Regulated Water;Companhia de Saneamento do Paraná - SANEPAR
SAPR4.SA;13;1,881196038842419;0,16722753157308087;8775313408;1467474000,0;307418000,0;472657000,0;467124000,0;830437782,5;3,76;1208541278;br_market;Utilities—Regulated Water;Companhia de Saneamento do Paraná - SANEPAR
SBSP3.SA;24;5,66915756163145;0,1261827319483372;38262390784;4828053000,0;540708000,0;310927000,0;2969026000,0;230214695,0;35,8;340005149;br_market;Utilities—Regulated Water;Companhia de Saneamento Básico do Estado de São Paulo - SABESP
BOBR4.SA;28;1,5696163460659085;0,13389233786105803;769097408;102976250,0;-206755000,0;272361000,0;132959000,0;3141832,5;1,75;42098380;br_market;Household & Personal Products;Bombril S.A.
LIGT3.SA;30;0,6463948149718801;0,15644645808828386;10385930240;1624842000,0;756767000,0;1756932000,0;2350555000,0;528829647,5;10,11;353894028;br_market;Utilities—Renewable;Light S.A.
POWE3.SA;33;0,6101838507381295;0,15615225598651325;702242496;109656750,0;73969000,0;105742000,0;7241000,0;8790662,5;13,41;43563295;br_market;Utilities—Renewable;Focus Energia Holding Participações S.A.
TAEE4.SA;37;0,8448907607992493;0,12976898847697454;10366344192;1345230000,0;1518518000,0;73676000,0;440828000,0;875747070,0;12,25;344498907;br_market;Utilities—Regulated Electric;Transmissora Aliança de Energia Elétrica S.A.
TAEE3.SA;39;0,8448907607992493;0,1296397378229346;10376679424;1345230000,0;1518518000,0;73676000,0;440828000,0;875747070,0;12,52;344498907;br_market;Utilities—Regulated Electric;Transmissora Aliança de Energia Elétrica S.A.
CLSC4.SA;44;0,6769116275111731;0,12548613841629497;3423037440;429543750,0;433137000,0;201427000,0;968493000,0;1087207150,0;67,5;15000106;br_market;Utilities—Regulated Electric;Centrais Elétricas de Santa Catarina S.A.
CSMG3.SA;47;0,48749299524950557;0,1356469909781205;7901076480;1071757250,0;616137000,0;1582371000,0;595756000,0;756708380,0;12,67;188908009;br_market;Utilities—Regulated Water;Companhia de Saneamento de Minas Gerais
QUAL3.SA;49;1,2261519983549556;0,10737083799136751;6108900352;655917750,0;491035000,0;43905000,0;17286000,0;398680275,0;17,91;168696992;br_market;Healthcare Plans;Qualicorp Consultoria e Corretora de Seguros S.A.
CAMB3.SA;49;1,2562920422825241;0,10401615116458535;263937376;27453750,0;-4953000,0;26806000,0;39134000,0;4079780,0;4,64;10655027;br_market;Leisure;Cambuci S.A.
GEPA4.SA;51;0,39796134931662147;0,14941326201078686;4499123712;672228750,0;-985507000,0;2674688000,0;376967000,0;1096235342,5;32,01;3597298;br_market;Utilities—Regulated Electric;Rio Paranapanema Energia S.A.
TRPL4.SA;51;0,6067924335533087;0,12009838222927655;21363585024;2565732000,0;4135361000,0;92991000,0;312576000,0;2035051657,5;23,2;187030615;br_market;Utilities—Regulated Electric;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista S.A.
CMIN3.SA;54;0,4239880965359345;0,13530626546825694;27737217024;3753019250,0;1998952000,0;6852757000,0;45014000,0;2877571987,5;5,22;533964006;br_market;Steel;CSN Mineração S.A.
TGMA3.SA;60;0,3187970616217669;0,15376281142389744;1172416128;180274000,0;311862000,0;253620000,0;68811000,0;248644227,5;15,14;28987519;br_market;Trucking;Tegma Gestão Logística S.A.
EQMA3B.SA;63;0,7635742484492721;0,09571289717750647;8341846016;798422250,0;1044258000,0;1380000,0;961330000,0;257787602,5;42,92;2200064;br_market;Utilities—Regulated Electric;Equatorial Maranhão Distribuidora de Energia S.A.
CIEL3.SA;65;0,2835262144249238;0,1534823020417311;17825200128;2735852750,0;8662626000,0;986756000,0;40960000,0;13403885,0;2,35;1106532387;br_market;Information Technology Services;Cielo S.A.
ALUP3.SA;66;0,3065239808196125;0,14330591173280277;13831290880;1982105750,0;1794241000,0;4672156000,0;823619000,0;639224140,0;7,86;130949484;br_market;Utilities—Renewable;Alupar Investimento S.A.
CTSA4.SA;66;0,3439923936199268;0,1300707768230922;387325664;50379750,0;3472000,0;142984000,0;102746000,0;8360152,5;1,54;11892312;br_market;Textile Manufacturing;Companhia Tecidos Santanense Ltda.
CEBR3.SA;69;0,25030942272082807;0,2787027967373273;463686592;129230750,0;473437000,0;42847000,0;13110000,0;122037047,5;17,49;2244631;br_market;Utilities—Regulated Electric;Companhia Energética de Brasília - CEB
ALUP4.SA;69;0,3065239808196125;0,1426711485359652;13892828160;1982105750,0;1794241000,0;4672156000,0;823619000,0;639224140,0;8,11;130949484;br_market;Utilities—Renewable;Alupar Investimento S.A.
CEBR6.SA;70;0,25030942272082807;0,26055674307824334;495979296;129230750,0;473437000,0;42847000,0;13110000,0;122037047,5;17,51;2244631;br_market;Utilities—Regulated Electric;Companhia Energética de Brasília - CEB
CMIG4.SA;72;0,39309413774408775;0,11185802793491566;29467475968;3296173750,0;5765985000,0;2619217000,0;2059315000,0;1443665737,5;13,04;1422496161;br_market;Utilities—Diversified;Companhia Energética de Minas Gerais
ENBR3.SA;73;0,38050057023981754;0,11401191692526505;18962366464;2161935750,0;-590003000,0;6271823000,0;3314365000,0;2594900150,0;19,9;262168137;br_market;Utilities—Renewable;EDP - Energias do Brasil S.A.
RSUL4.SA;74;2,2500323960088116;0,07805800547547452;444887104;34727000,0;-93583000,0;109017000,0;2395000,0;-1457687,5;78,39;445179;br_market;Auto Parts;Metalúrgica Riosulense S.A.
CPFE3.SA;76;0,5035246969223239;0,09154274250866087;45124202496;4130793250,0;-594148000,0;8797903000,0;3988465000,0;3629514840,0;26,57;187621590;br_market;Utilities—Regulated Electric;CPFL Energia S.A.
CCRO3.SA;81;1,7890121700015937;0,07701993085427447;38914859008;2997219750,0;503871000,0;1171478000,0;5372031000,0;3447094132,5;11,49;1115685295;br_market;Infrastructure Operations;CCR S.A.
EQTL3.SA;83;0,5373934412696206;0,08723052076168647;36865253376;3215775250,0;5935362000,0;48662000,0;3112366000,0;2077019845,0;22,6;932030442;br_market;Utilities—Regulated Electric;Equatorial Energia S.A.
CMIG3.SA;85;0,39309413774408775;0,09309192870045674;35407728640;3296173750,0;5765985000,0;2619217000,0;2059315000,0;1443665737,5;16,88;1422496161;br_market;Utilities—Diversified;Companhia Energética de Minas Gerais
CPLE3.SA;86;0,25377887922172176;0,12184179552608755;23705022464;2888262500,0;1753039000,0;9627981000,0;2599088000,0;3064113382,5;5,48;1214592016;br_market;Utilities—Diversified;Companhia Paranaense de Energia - COPEL
ALUP11.SA;88;0,3065239808196125;0,10689051243077367;18543327232;1982105750,0;1794241000,0;4672156000,0;823619000,0;639224140,0;24,36;130949484;br_market;Utilities—Renewable;Alupar Investimento S.A.
CPLE6.SA;90;0,25377887922172176;0,11557117513640384;24991201280;2888262500,0;1753039000,0;9627981000,0;2599088000,0;3064113382,5;5,98;1214592016;br_market;Utilities—Diversified;Companhia Paranaense de Energia - COPEL
ENGI4.SA;93;1,233407878773732;0,07179311924132555;28704272384;2060769250,0;1192781000,0;478012000,0;5671807000,0;887956805,0;6,49;1312581503;br_market;Utilities—Renewable;Energisa S.A.
CGAS5.SA;96;2,4925079621342294;0,0662899217900824;23895166976;1584008750,0;615643000,0;19865000,0;277417000,0;1535023547,5;143,31;1139677;br_market;Utilities—Regulated Gas;Companhia de Gás de São Paulo - COMGÁS
CURY3.SA;101;0,2704395898816564;0,09587834065140115;2158209024;206925500,0;750476000,0;14669000,0;91704000,0;281378507,5;6,95;90910334;br_market;Real Estate—Development;Cury Construtora e Incorporadora S.A.
CARD3.SA;111;0,4027632481415537;0,0767313360627952;757646784;58135250,0;21886000,0;122455000,0;14706000,0;79291767,5;17,09;18219084;br_market;Credit Services;CSU Cardsystem S.A.
NEOE3.SA;113;0,3844533731162132;0,07794444919151271;48766660608;3801090500,0;2977000000,0;6910000000,0;3950000000,0;4792720677,5;15,8;593789614;br_market;Utilities—Regulated Electric;Neoenergia S.A.
MRFG3.SA;120;0,23999311166449908;0,08838535982303146;34262880256;3028337000,0;4555514000,0;8062919000,0;6691988000,0;1651710347,5;26,78;367145016;br_market;Packaged Foods;Marfrig Global Foods S.A.
TAEE11.SA;120;0,8409096911180597;0,05953140572708928;18720442368;1114454250,0;1302019000,0;23277000,0;3039403000,0;42913995,0;36,95;344498907;br_market;Utilities—Regulated Electric;Transmissora Aliança de Energia Elétrica S.A.
VALE3.SA;120;0,2196274211394886;0,09493092575148156;612634918912;58158000000,0;50967000000,0;213836000000,0;10648000000,0;68585540000,0;66,07;4534140526;br_market;Other Industrial Metals & Mining;Vale S.A.
ELET3.SA;123;0,19305828889916377;0,10680170739437814;93011001344;9933733750,0;18791671000,0;32662912000,0;11467952000,0;13893032,5;33,17;602155683;br_market;Utilities—Regulated Electric;Centrais Elétricas Brasileiras S.A. - Eletrobrás
ELET6.SA;123;0,19305828889916377;0,1061392602770825;93591511040;9933733750,0;18791671000,0;32662912000,0;11467952000,0;13893032,5;32,99;602155683;br_market;Utilities—Regulated Electric;Centrais Elétricas Brasileiras S.A. - Eletrobrás
ABEV3.SA;124;0,597443303900555;0,06263957057273514;254020108288;15911710500,0;1864650000,0;24768355000,0;2332767000,0;16569048182,5;17,88;4398337763;br_market;Beverages—Brewers;Ambev S.A.
JSLG3.SA;126;0,19409224323962856;0,10316373177154804;5204874240;536954250,0;954786000,0;1811704000,0;276995000,0;11425080,0;7,35;63903237;br_market;Integrated Freight & Logistics;JSL S.A.
TEND3.SA;129;0,16636803561344277;0,11502772582475161;2407473920;276926250,0;1542530000,0;122010000,0;599666000,0;51555937,5;18,29;68132267;br_market;Real Estate—Development;Construtora Tenda S.A.
EGIE3.SA;130;0,21907663380312142;0,08736467436361937;45230309376;3951531250,0;2352371000,0;15684839000,0;1844572000,0;4444275035,0;39,79;255197719;br_market;Utilities—Regulated Electric;Engie Brasil Energia S.A.
EALT4.SA;132;0,1392141822402577;0,14665730400554716;210996992;30944250,0;28372000,0;193906000,0;19287000,0;19147167,5;6,28;7271100;br_market;Metal Fabrication;Electro Aço Altona S.A.
SEER3.SA;135;0,161511149910558;0,11353409682151654;2356331776;267524000,0;632555000,0;1023826000,0;163790000,0;667381200,0;10,91;54885586;br_market;Education & Training Services;Ser Educacional S.A.
LEVE3.SA;135;0,26836885323853504;0,07579097654559618;4207331328;318877750,0;562162000,0;626045000,0;293794000,0;583372717,5;33,28;38492550;br_market;Auto Parts;MAHLE Metal Leve S.A.
ENGI3.SA;136;1,233407878773732;0,04784075057975832;43075604480;2060769250,0;1192781000,0;478012000,0;5671807000,0;887956805,0;13,86;1312581503;br_market;Utilities—Renewable;Energisa S.A.
ENMT3.SA;139;0,6242301796211767;0,053787098158194394;13513473024;726850500,0;1129696000,0;34699000,0;1211241000,0;305340085,0;79,99;11384981;br_market;Utilities—Regulated Electric;Energisa Mato Grosso - Distribuidora de Energia S/A
JPSA3.SA;140;0,357518792175426;0,06439981780911028;6065673216;390628250,0;1061495000,0;31114000,0;680077000,0;21493355,0;27,87;34874424;br_market;Conglomerates;Jereissati Participações S.A.
UNIP6.SA;144;0,2247826173575098;0,077106033091542;7609197056;586715000,0;660460000,0;1949684000,0;340729000,0;891337805,0;73,47;67600257;br_market;Chemicals;Unipar Carbocloro S.A.
BEEF3.SA;147;0,13724417962179747;0,11739551530158991;10537061376;1237003750,0;4890651000,0;4122509000,0;2199564000,0;6229309332,5;10,42;231205694;br_market;Farm Products;Minerva S.A.
UNIP3.SA;149;0,2247826173575098;0,07500308012274053;7822545408;586715000,0;660460000,0;1949684000,0;340729000,0;891337805,0;78,0;67600257;br_market;Chemicals;Unipar Carbocloro S.A.
ALPK3.SA;149;0,9051318049329751;0,041757021142163474;3041620224;127009000,0;-607428000,0;747749000,0;473634000,0;32955310,0;4,68;193771106;br_market;Infrastructure Operations;Allpark Empreendimentos, Participações e Serviços S.A.
MULT3.SA;150;0,65304396786157;0,04468327077156095;14419216384;644297750,0;839702000,0;146905000,0;396555000,0;1211446382,5;19,61;273911776;br_market;Real Estate Services;Multiplan Empreendimentos Imobiliários S.A.
SCAR3.SA;151;0,46002415800726026;0,05119822690159776;3492450048;178807250,0;371463000,0;17228000,0;157109000,0;409933462,5;37,19;25797551;br_market;Real Estate Services;São Carlos Empreendimentos e Participações S.A.
HAGA4.SA;151;0,14209624203968443;0,10353357640367525;42879220;4439439,0;21206882,0;10035598,0;20776705,0;33301345,2575;1,93;8247057;br_market;Building Products & Equipment;HAGA S/A Indústria e Comércio
HAGA3.SA;153;0,14209624203968443;0,10341127491187267;42929932;4439439,0;21206882,0;10035598,0;20776705,0;33301345,2575;4,47;8247057;br_market;Building Products & Equipment;HAGA S/A Indústria e Comércio
VIVT3.SA;156;0,15190988800501168;0,09002044022077456;76846211072;6917729750,0;1185784000,0;44352593000,0;1429293000,0;5326920462,5;49,68;442190617;br_market;Telecom Services;Telefônica Brasil S.A.
JBSS3.SA;160;0,16329165469266016;0,08496992624261071;142579007488;12114927750,0;19702068000,0;54489891000,0;4562101000,0;17630797970,0;37,88;974732290;br_market;Packaged Foods;JBS S.A.
CRFB3.SA;160;0,22269507952286283;0,0688588749157875;52055744512;3584500000,0;693000000,0;15403000000,0;11000000,0;5082495000,0;16,97;392123101;br_market;Food Distribution;Atacadão S.A.
YDUQ3.SA;161;0,2028536156950789;0,07026785827927151;11243383808;790048500,0;1443629000,0;2451044000,0;390302000,0;-7635822,5;21,99;251841817;br_market;Education & Training Services;Yduqs Participações S.A.
WHRL4.SA;166;0,35165820318698077;0,04933041515646212;11456425984;565150250,0;735261000,0;871840000,0;297175000,0;1831941457,5;8,37;28703213;br_market;Consumer Electronics;Whirlpool S.A.
MRVE3.SA;167;0,1440613799681389;0,08344878186205888;9516783616;794164000,0;4948285000,0;564393000,0;681054000,0;1023502590,0;10,99;300511805;br_market;Residential Construction;MRV Engenharia e Participações S.A.
PARD3.SA;171;0,2401814999388162;0,059169411525276695;3383576832;200204250,0;301995000,0;531559000,0;6877000,0;119382517,5;22,42;42021815;br_market;Diagnostics & Research;Instituto Hermes Pardini S.A.
RAPT4.SA;176;0,1396848589748024;0,08334846704060403;6928903680;577513500,0;2266673000,0;1867730000,0;890194000,0;1616273260,0;10,27;199577879;br_market;Farm & Heavy Construction Machinery;Randon S.A. Implementos e Participações
TIMS3.SA;176;0,14127519820426945;0,08165615585441231;35156443136;2870740000,0;2109600000,0;18210598000,0;1689385000,0;2405640265,0;12,35;2420440879;br_market;Telecom Services;TIM S.A.
PETR4.SA;178;0,10623743226856187;0,1103061947967005;627439828992;69210500000,0;6036000000,0;645434000000,0;21751000000,0;58169295000,0;26,0;8250196414;br_market;Oil & Gas Integrated;Petróleo Brasileiro S.A. - Petrobras
PETR3.SA;180;0,10623743226856187;0,10865717491232944;636962078720;69210500000,0;6036000000,0;645434000000,0;21751000000,0;58169295000,0;26,67;8250196414;br_market;Oil & Gas Integrated;Petróleo Brasileiro S.A. - Petrobras
DEXP4.SA;180;0,20254601121215404;0,06207104375039433;1324792448;82231250,0;130510000,0;275478000,0;54501000,0;33073407,5;7,32;11897927;br_market;Chemicals;Dexxos Participações S.A.
CAML3.SA;182;0,12032467300052097;0,08930319731487812;4743212032;423584000,0;2203210000,0;1317132000,0;682135000,0;1026270360,0;10,5;115386027;br_market;Packaged Foods;Camil Alimentos S.A.
SAPR11.SA;183;7,905671193430267;0,02702930323150783;32909264896;889514500,0;-17429000,0;129945000,0;2808827000,0;501550122,5;18,61;1208541278;br_market;Utilities—Regulated Water;Companhia de Saneamento do Paraná - SANEPAR
BLAU3.SA;187;0,38887622805959965;0,03846189189768225;6876663808;264489500,0;436666000,0;243472000,0;63302000,0;61299180,0;35,99;;br_market;Drug Manufacturers—Specialty & Generic;Blau Farmacêutica S.A.
MDIA3.SA;187;0,13356547962973048;0,0809663707903308;9330352128;755444750,0;2236594000,0;3419394000,0;455303000,0;1151015480,0;31,09;83702891;br_market;Packaged Foods;M. Dias Branco S.A. Indústria e Comércio de Alimentos
FLRY3.SA;189;0,2313653560800638;0,05104815202058213;10012468224;511118000,0;770428000,0;1438710000,0;472250000,0;873505,0;19,99;315441697;br_market;Medical Instruments & Supplies;Fleury S.A.
CSNA3.SA;189;0,1370115842489342;0,07840186249832844;49589886976;3887939500,0;8660498000,0;19716223000,0;4126453000,0;9702101192,5;21,33;654891955;br_market;Steel;Companhia Siderúrgica Nacional
VLID3.SA;189;0,17020662854924865;0,06751157685831129;1662800000;112258250,0;213935000,0;445606000,0;734451000,0;468396275,0;7,18;;br_market;Specialty Business Services;Valid Soluções S.A.
DEXP3.SA;194;0,20254601121215404;0,05526146318893862;1488039680;82231250,0;130510000,0;275478000,0;54501000,0;33073407,5;8,47;11897927;br_market;Chemicals;Dexxos Participações S.A.
CEAB3.SA;195;0,10646839211230373;0,08863546541657281;4144035328;367308500,0;1268267000,0;2181663000,0;390600000,0;1460295535,0;6,96;91037098;br_market;Specialty Retail;C&A Modas S.A.
BRKM5.SA;198;0,14048272602962356;0,06999136721319985;89588080640;6270392250,0;5803070000,0;38831544000,0;9087333000,0;13317533302,5;53,23;201871956;br_market;Chemicals;Braskem S.A.
VITT3.SA;199;0,2132427671756294;0,04894131294465612;1461893760;71547000,0;169722000,0;165797000,0;184125000,0;41933410,0;9,9;5995723;br_market;Agricultural Inputs;Vittia Fertilizantes e Biológicos S.A.
SGPS3.SA;200;0,11203339142602378;0,08127100541701796;1528977024;124261500,0;269093000,0;840054000,0;424702000,0;154436497,5;7,15;23542500;br_market;Textile Manufacturing;Springs Global Participações S.A.
GOAU3.SA;200;0,11840534868080242;0,08027155994425479;46490017792;3731826250,0;13448927000,0;18068452000,0;1431506000,0;4200934580,0;11,16;753727604;br_market;Steel;Metalurgica Gerdau S.A.
ALLD3.SA;202;0,19282373770077177;0,05383750077208341;3058736896;164674750,0;702544000,0;151473000,0;79018000,0;347964280,0;17,21;;br_market;Software—Application;Allied Tecnologia S.A.
GGBR3.SA;203;0,126229474612489;0,07414321065642854;51067666432;3786320750,0;11927310000,0;18068226000,0;1431506000,0;4200864580,0;21,21;1147426481;br_market;Steel;Gerdau S.A.
RENT3.SA;204;0,550224292751917;0,028094868036188016;49574080512;1392777250,0;1273234000,0;1258056000,0;1681402000,0;2500922537,5;48,26;593463912;br_market;Rental & Leasing Services;Localiza Rent a Car S.A.
GOAU4.SA;205;0,11840534868080242;0,078039632753865;47819628544;3731826250,0;13448927000,0;18068452000,0;1431506000,0;4200934580,0;11,78;753727604;br_market;Steel;Metalurgica Gerdau S.A.
ENGI11.SA;208;1,233407878773732;0,0218405662268715;94355120128;2060769250,0;1192781000,0;478012000,0;5671807000,0;887956805,0;40,01;1312581503;br_market;Utilities—Renewable;Energisa S.A.
VIVA3.SA;211;0,2507040978085011;0,038428466417681786;7689681408;295502663,75;839512000,0;339179000,0;277821000,0;466346193,3925;27,2;81327616;br_market;Luxury Goods;Vivara Participações S.A.
MTSA4.SA;214;0,09723411122287631;0,0834039534489317;333974720;27854812,0;200043340,0;86428266,0;22546489,0;86456774,975;42,65;3194645;br_market;Farm & Heavy Construction Machinery;METISA Metalúrgica Timboense S.A.
MATD3.SA;214;0,27135082060510735;0,03440480961178886;5044440064;173553000,0;127509000,0;512080000,0;239467000,0;114515375,0;15,88;;br_market;Medical Care Facilities;Hospital Mater Dei S.A.
VULC3.SA;215;0,14606215036067807;0,058356554396372946;2658523136;155142250,0;805710000,0;256456000,0;127894000,0;145923857,5;8,58;105729295;br_market;Footwear & Accessories;Vulcabras Azaleia S.A.
PLPL3.SA;216;0,12631176565795862;0,06695647534534657;1433625344;95990500,0;752357000,0;7592000,0;119000,0;198284775,0;3,07;204119148;br_market;Real Estate—Development;Plano & Plano Desenvolvimento Imobiliário S.A.
GGPS3.SA;219;0,43152298299706965;0,02666265047706821;10477213696;279350286,75;388650000,0;258709000,0;330798000,0;700352040,7925;17,16;471448885;br_market;Personal Services;GPS Participações e Empreendimentos S.A.
