;symbol
12;RSUL4.SA
14;SAPR3.SA
15;SAPR4.SA
19;SBSP3.SA
23;BOBR4.SA
30;POWE3.SA
32;TAEE4.SA
33;TAEE3.SA
35;CAMB3.SA
40;QUAL3.SA
43;LIGT3.SA
45;CLSC4.SA
50;TRPL4.SA
52;CSMG3.SA
56;EQMA3B.SA
64;CMIN3.SA
65;GEPA4.SA
78;CCRO3.SA
82;CPFE3.SA
87;ENGI4.SA
92;CMIG4.SA
93;EQTL3.SA
98;ENBR3.SA
102;TGMA3.SA
103;CGAS5.SA
106;CTSA4.SA
112;ALUP3.SA
114;ALUP4.SA
120;CMIG3.SA
121;CIEL3.SA
131;CEBR3.SA
132;CEBR6.SA
141;ALUP11.SA
154;CARD3.SA
160;NEOE3.SA
161;CPLE3.SA
167;CPLE6.SA
169;TAEE11.SA
174;ABEV3.SA
180;CURY3.SA
231;MRFG3.SA
234;ENMT3.SA
237;ENGI3.SA
241;VALE3.SA
243;JPSA3.SA
255;LEVE3.SA
274;ELET3.SA
275;ELET6.SA
276;EGIE3.SA
280;JSLG3.SA
312;UNIP6.SA
314;SCAR3.SA
325;UNIP3.SA
330;TEND3.SA
341;MULT3.SA
348;ALPK3.SA
353;SEER3.SA
379;CRFB3.SA
390;EALT4.SA
415;YDUQ3.SA
422;WHRL4.SA
447;BEEF3.SA
454;JBSS3.SA
457;PARD3.SA
473;HAGA4.SA
474;HAGA3.SA
477;VIVT3.SA
513;DEXP4.SA
532;MRVE3.SA
555;VLID3.SA
561;RAPT4.SA
564;TIMS3.SA
570;SAPR11.SA
579;FLRY3.SA
599;DEXP3.SA
602;BLAU3.SA
603;MDIA3.SA
605;CAML3.SA
606;PETR4.SA
607;CSNA3.SA
613;PETR3.SA
650;ALLD3.SA
668;VITT3.SA
669;BRKM5.SA
675;GOAU3.SA
684;CEAB3.SA
689;GGBR3.SA
701;GOAU4.SA
718;SGPS3.SA
742;RENT3.SA
749;ENGI11.SA
776;PLPL3.SA
782;MTSA4.SA
789;POSI3.SA
795;VULC3.SA
806;UGPA3.SA
809;VIVA3.SA
810;CTNM4.SA
812;GGBR4.SA
814;PTNT4.SA
828;ENAT3.SA
835;GGPS3.SA
842;CRPG5.SA
868;MGEL4.SA
870;PCAR3.SA
876;MATD3.SA
885;GUAR3.SA
895;EUCA4.SA
897;TUPY3.SA
898;FIQE3.SA
906;OFSA3.SA
924;MYPK3.SA
947;CPLE11.SA
959;COGN3.SA
987;GRND3.SA
995;USIM3.SA
999;HAPV3.SA
1001;RAIZ4.SA
1018;SMTO3.SA
1024;USIM5.SA
1036;TASA4.SA
1038;TRIS3.SA
1046;CSAN3.SA
1061;MELK3.SA
1065;EUCA3.SA
1066;JALL3.SA
1075;TASA3.SA
1101;SYNE3.SA
1109;SLCE3.SA
1122;MOSI3.SA
1159;ORVR3.SA
1166;HYPE3.SA
1177;LREN3.SA
1207;ESPA3.SA
1235;EMAE4.SA
1244;CLSA3.SA
1293;INTB3.SA
1299;ETER3.SA
1302;BRFS3.SA
1312;RANI3.SA
1313;CBAV3.SA
1315;LAVV3.SA
1316;HBRE3.SA
1332;SHUL4.SA
1337;IGTA3.SA
1346;GNDI3.SA
1353;FESA4.SA
1355;BRML3.SA
1382;FESA3.SA
1399;TOTS3.SA
1428;ALPA3.SA
1433;SUZB3.SA
1440;LOGN3.SA
1441;POMO3.SA
1444;MTRE3.SA
1462;ALPA4.SA
1466;ARZZ3.SA
1470;POMO4.SA
1478;EZTC3.SA
1481;FRAS3.SA
1497;HBSA3.SA
1499;PTBL3.SA
1503;RCSL3.SA
1508;KEPL3.SA
1509;JHSF3.SA
1512;PRIO3.SA
1521;LJQQ3.SA
1524;KLBN4.SA
1526;RAIL3.SA
1529;LAME3.SA
1537;SIMH3.SA
1544;PTNT3.SA
1550;AALR3.SA
1555;MNPR3.SA
1558;PNVL3.SA
1559;LAME4.SA
1602;WEGE3.SA
1611;ENEV3.SA
1623;RADL3.SA
1628;GMAT3.SA
1629;KLBN3.SA
1645;AERI3.SA
1650;RCSL4.SA
1657;LCAM3.SA
1659;NTCO3.SA
1661;PGMN3.SA
1675;PFRM3.SA
1680;ROMI3.SA
1681;MOVI3.SA
1686;MDNE3.SA
1708;NGRD3.SA
1718;BRPR3.SA
1720;DESK3.SA
1736;BOAS3.SA
1739;CESP6.SA
1758;MGLU3.SA
1765;CESP3.SA
1779;ALSO3.SA
1784;EVEN3.SA
1787;VAMO3.SA
1791;IRBR3.SA
1796;RECV3.SA
1818;ONCO3.SA
1821;WLMM4.SA
1824;TPIS3.SA
1837;AMAR3.SA
1859;MWET4.SA
1872;RDOR3.SA
1881;SBFG3.SA
1883;ANIM3.SA
1888;DXCO3.SA
1889;ELMD3.SA
1896;DIRR3.SA
1907;OMGE3.SA
1924;OPCT3.SA
1936;CYRE3.SA
1946;SHOW3.SA
1954;LOGG3.SA
1971;LWSA3.SA
1996;VIVR3.SA
2023;ECOR3.SA
2025;PETZ3.SA
2037;DASA3.SA
2046;COCE5.SA
2049;SOMA3.SA
2063;STBP3.SA
2066;PDGR3.SA
2115;SEQL3.SA
2130;ITSA4.SA
2131;ITSA3.SA
2138;KLBN11.SA
2151;IFCM3.SA
2175;PMAM3.SA
2176;HOOT4.SA
2177;LLIS3.SA
2182;SULA4.SA
2185;SULA3.SA
2195;SQIA3.SA
2216;INEP3.SA
2219;INEP4.SA
2231;RSID3.SA
2234;SULA11.SA
2237;BKBR3.SA
2238;PRNR3.SA
2246;DMVF3.SA
2249;SMFT3.SA
2313;DOTZ3.SA
2351;TCNO3.SA
2352;BEES3.SA
2357;BRSR3.SA
2358;BRSR6.SA
2364;BBDC3.SA
2365;TCNO4.SA
2368;BBDC4.SA
2372;BIDI11.SA
2373;BMGB4.SA
2375;BPAC3.SA
2380;ABCB4.SA
2381;BPAC5.SA
2382;BPAC11.SA
2431;GOLL4.SA
2459;BPAN4.SA
2526;RPMG3.SA
2531;MODL4.SA
2535;MODL3.SA
2537;MODL11.SA
2545;PINE4.SA
2546;BMEB4.SA
2548;ITUB3.SA
2557;SANB3.SA
2561;SANB4.SA
2564;SANB11.SA
2569;ITUB4.SA
2648;CVCB3.SA
2658;WEST3.SA
2712;PDTC3.SA
2716;EMBR3.SA
2789;MEAL3.SA
2800;ENJU3.SA
2833;TECN3.SA
2845;MOAR3.SA
2870;FHER3.SA
2872;TELB3.SA
2897;MILS3.SA
2956;RDNI3.SA
2973;HBOR3.SA
2974;TELB4.SA
2991;GFSA3.SA
3020;BIOM3.SA
3048;OIBR4.SA
3067;OIBR3.SA
3094;MBLY3.SA
3108;LUPA3.SA
3141;RNEW11.SA
3154;RNEW4.SA
3155;RNEW3.SA
3181;BRAP4.SA
3190;BRAP3.SA
3381;TCSA3.SA
3424;AVLL3.SA
3456;ATMP3.SA
3508;SLED4.SA
